"individuo","Item_1","Item_2","Item_3","Item_4","Item_5","Item_6","Item_7","Item_8","Item_9","Item_10","Item_11","Item_12","Item_13","Item_14","Item_15","Item_16","Item_17","Item_18","Item_19","Item_20","Item_21","Item_22","Item_23","Item_24","Item_25","Item_26","Item_27","Item_28","Item_29","Item_30"
23,4,4,4,4,4,4,4,4,4,4,4,4,0,4,0,1,2,4,4,0,4,4,2,4,0,4,4,4,4,4
24,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,0,0,2,4,0,4,3,4,4,4,4,4,4,4
25,3,1,0,2,4,0,3,0,2,0,1,4,0,0,2,4,0,0,0,0,2,4,0,2,0,4,0,2,4,0
26,4,4,4,4,3,4,0,4,4,4,4,4,4,2,1,1,4,4,0,0,4,4,2,4,0,4,2,4,3,4
27,4,2,2,4,4,4,2,0,0,2,2,4,4,0,0,0,0,0,0,0,1,4,0,0,4,0,4,4,2,4
28,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,0,4,3,4,4,4,4,4,4,4,4,4,4,4,4
29,4,4,4,4,4,4,4,4,4,4,2,4,3,2,1,4,0,0,0,0,0,4,4,4,4,4,0,4,4,4
30,4,4,4,2,4,4,1,4,4,0,1,2,0,0,1,2,1,1,0,0,0,0,0,4,4,4,1,4,4,2
31,4,4,4,4,4,4,4,4,4,4,0,4,4,4,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,3
32,1,4,2,0,4,2,4,0,0,0,4,0,0,0,2,3,0,0,4,0,0,3,2,4,4,4,0,1,0,1
33,4,4,4,2,4,4,4,4,0,4,4,1,4,2,3,2,2,4,3,0,2,4,2,4,2,4,4,2,4,4
34,4,4,4,0,4,0,4,0,3,0,4,4,1,1,4,4,4,0,0,0,0,4,0,0,0,4,0,4,0,0
35,4,4,4,4,3,4,0,4,3,2,4,4,1,1,0,2,1,4,1,0,2,4,0,4,1,4,0,3,4,0
36,4,4,4,4,4,0,4,4,4,4,4,3,4,4,4,4,1,4,3,4,2,4,0,0,4,4,4,4,4,1
37,4,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,0,2,0,4,4,4,4,3,2,4,0,4,4
38,1,4,4,0,0,4,0,3,4,0,4,2,2,4,0,0,1,2,0,0,2,4,1,4,0,4,0,4,4,3
39,4,4,0,4,4,4,4,4,4,2,0,4,0,0,4,3,4,2,0,2,4,4,0,4,0,0,0,2,0,2
40,0,2,4,4,0,4,4,1,4,4,2,4,0,2,0,0,0,0,0,2,2,4,0,2,1,4,0,0,4,2
41,4,4,2,1,4,0,2,0,2,4,4,4,1,2,2,4,0,0,0,0,0,4,0,4,0,4,0,2,0,4
42,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,0,0,4,4,0,1,4,4,4,4,4,4,4,4,4
43,3,0,4,4,0,0,2,1,4,4,4,1,2,2,4,0,0,0,0,2,2,4,1,0,2,4,4,0,0,1
44,4,4,4,2,4,3,3,2,4,4,4,0,4,4,4,2,1,4,0,1,4,4,0,4,2,4,4,4,4,4
45,4,4,4,3,0,4,0,0,4,4,4,0,2,2,0,4,0,1,0,0,0,4,0,1,4,4,0,4,0,4
46,4,4,4,0,4,4,4,0,2,0,0,0,4,1,0,0,0,0,1,0,0,2,0,4,2,4,1,2,4,1
47,4,4,4,4,4,4,2,4,4,0,0,2,3,4,3,0,3,0,4,0,0,4,0,4,4,4,0,0,3,4
48,4,4,4,4,4,4,4,0,3,4,1,4,4,0,0,0,4,0,2,4,2,4,4,4,4,4,1,4,4,4
49,0,4,4,4,4,4,3,4,4,4,4,4,4,2,1,0,2,1,4,0,2,4,0,4,4,4,3,4,0,4
50,4,4,0,4,4,2,2,4,0,4,0,1,4,2,0,0,0,4,0,0,0,4,0,2,0,4,0,0,2,2
51,4,4,4,4,4,4,4,4,0,4,3,1,4,0,0,3,0,0,3,0,0,4,0,4,0,2,4,2,4,2
52,4,3,4,4,4,1,4,4,4,1,2,0,2,0,0,2,0,1,0,0,0,4,0,2,0,4,0,0,2,1
53,1,0,1,0,0,2,2,1,0,0,2,4,0,0,0,0,1,0,0,0,0,4,0,2,0,0,0,0,4,0
54,3,3,1,3,4,4,4,4,4,4,4,4,0,4,3,2,2,0,0,0,2,4,0,4,4,4,4,2,2,3
55,3,4,4,1,4,4,0,3,2,0,4,0,0,0,0,0,0,0,0,2,0,1,0,1,0,4,0,0,4,3
56,1,1,0,4,0,4,4,4,2,0,2,1,4,0,0,0,0,0,0,0,0,4,0,0,0,4,1,0,3,2
57,3,2,4,1,4,2,0,3,0,2,0,2,2,2,0,4,0,0,4,0,0,4,0,2,4,4,4,0,4,0
58,4,4,4,4,4,0,4,4,1,4,4,2,0,0,4,1,1,0,1,0,0,4,1,4,0,4,0,4,4,4
59,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,2,0,0,2,0,0,4,0,4,2,4,1,4,2,3
60,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,2,4,4,0,4,2,4,2,4,2,4,2,4
61,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,2,4,0,4,4,1,4,1,4,4,0,4,4,4,4
62,4,4,0,4,4,4,3,2,4,0,3,0,4,0,0,1,2,0,0,3,0,4,0,4,0,4,0,0,2,0
63,4,4,4,4,0,0,0,0,0,1,2,4,4,0,0,0,0,0,2,0,0,4,0,2,0,0,0,0,0,0
64,4,4,0,4,2,4,4,4,1,2,4,4,4,2,4,0,1,0,0,4,4,4,3,4,3,1,4,4,4,4
65,1,4,4,4,4,4,4,4,4,4,4,2,2,2,2,1,2,4,0,4,0,4,0,4,4,2,0,0,4,2
66,4,4,4,4,2,4,4,4,4,4,4,0,0,2,3,0,4,0,0,3,3,4,4,3,4,4,0,4,4,4
67,2,0,4,4,4,3,4,1,0,0,0,0,0,4,0,3,3,0,0,0,0,4,1,0,1,4,0,0,4,4
68,1,4,0,4,4,3,2,1,4,4,4,4,0,2,2,2,0,2,1,1,4,4,1,4,4,4,3,0,3,0
69,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,2,0,1,4,3,0,4,0,4,2,4,4,4,4,4
70,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,3,4,3,4,1,4,0,4,2,4,4,4
71,2,2,2,4,0,4,4,4,4,4,2,1,1,0,0,0,4,0,0,0,0,0,0,4,2,2,0,4,3,2
72,1,0,0,0,4,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
73,3,4,2,0,4,4,0,0,0,0,2,1,0,0,0,2,0,0,0,4,0,1,0,0,0,4,0,4,0,2
74,4,4,4,2,4,4,4,4,4,4,2,0,2,2,0,1,2,0,0,0,0,4,0,0,4,2,4,4,2,0
75,0,4,0,4,2,4,0,4,4,0,0,2,0,2,0,1,0,0,0,0,0,4,0,2,0,4,0,2,2,0
76,0,4,0,4,4,0,4,4,4,0,0,0,0,0,0,0,0,2,0,0,4,4,0,1,4,4,0,4,4,2
77,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,1,3,4,1,4,2,4,3,3,4,4
78,4,4,4,4,4,4,4,4,4,4,0,2,1,0,1,0,4,0,0,0,0,4,4,4,0,2,0,2,2,0
79,4,4,2,4,4,2,3,3,3,1,0,2,0,4,0,4,0,0,0,4,0,4,0,4,0,4,0,0,4,0
80,4,4,4,1,4,4,3,4,4,2,2,4,4,3,0,4,4,2,4,0,0,4,0,4,4,0,0,2,4,4
81,4,4,2,4,4,0,4,4,4,4,3,2,2,2,0,4,0,4,4,2,0,4,4,4,4,0,2,4,4,2
82,4,4,4,4,4,4,4,4,3,4,4,4,4,1,0,4,4,0,0,4,0,4,2,2,0,4,4,2,3,2
83,3,4,4,4,4,4,4,4,4,1,0,0,2,0,0,0,2,4,0,0,0,4,0,4,0,1,0,1,2,2
84,4,3,4,4,4,4,4,2,4,2,4,4,1,4,4,1,0,1,4,0,0,4,0,0,2,4,0,4,3,2
85,4,4,4,4,4,4,4,4,0,4,4,4,4,2,1,4,4,0,0,2,0,4,0,4,4,4,1,3,4,4
86,4,4,4,4,4,3,2,4,4,4,1,2,0,0,0,1,0,1,1,2,1,4,4,4,0,4,4,0,4,1
87,4,4,4,4,4,2,2,4,4,2,4,2,0,4,1,4,1,2,4,1,0,4,4,0,2,4,2,0,3,1
88,4,4,4,4,4,0,4,4,2,4,1,4,2,0,2,2,0,0,0,1,0,4,1,4,3,4,0,4,4,3
89,4,4,0,4,3,2,4,4,3,0,0,0,0,1,2,0,4,0,1,0,0,4,0,3,2,2,0,4,3,0
90,1,4,4,4,4,4,4,0,0,3,0,4,0,0,4,0,3,0,4,0,0,4,0,3,4,2,0,0,0,0
91,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,0,2,0,4,4,4,2,4,0,4,4,4
92,4,4,1,2,4,0,0,4,2,3,1,0,0,4,0,0,0,0,0,3,0,4,0,0,2,0,0,0,1,0
93,4,4,4,4,4,3,4,0,1,4,0,2,4,0,4,0,0,0,0,0,0,4,0,4,0,4,0,4,3,4
94,4,4,4,2,4,4,4,4,3,1,2,4,4,1,1,1,4,2,0,2,3,4,0,0,4,4,2,0,3,4
95,4,4,4,4,4,3,4,4,4,3,4,4,0,4,4,4,1,4,4,4,2,4,0,0,4,4,2,2,4,4
96,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,0,2,4,4,4,4,2,4,0,4,3,4
97,4,4,4,4,4,4,4,4,4,4,4,1,4,4,2,4,4,2,4,4,4,4,1,4,2,4,2,4,4,4
98,4,4,4,4,4,4,4,4,0,4,4,2,4,0,4,4,4,1,4,0,4,4,3,4,4,4,3,4,4,4
99,4,4,4,4,4,1,2,2,2,4,1,0,0,1,0,4,2,0,4,0,2,4,0,0,2,4,0,0,3,3
100,4,4,4,2,4,4,4,2,4,4,4,2,1,0,0,0,0,4,0,0,0,4,0,4,0,0,0,3,0,0
101,2,4,4,2,4,4,4,4,4,2,4,4,0,0,1,2,0,4,4,0,4,4,0,4,0,4,0,4,4,4
102,4,3,4,0,4,2,4,3,0,0,0,4,4,2,4,0,0,0,0,0,0,4,0,2,2,4,0,0,4,0
103,3,4,4,4,1,0,4,0,0,2,0,0,0,0,2,0,0,0,0,4,0,4,2,4,3,0,0,1,2,1
104,4,4,0,3,2,4,2,2,4,0,0,0,0,0,0,2,0,0,0,0,3,3,0,4,4,2,0,2,0,1
105,4,4,4,4,4,4,4,4,4,4,4,2,4,3,4,4,4,2,4,0,0,4,4,4,4,4,4,1,4,2
106,3,4,4,0,0,4,4,2,0,0,4,4,2,0,1,0,1,0,0,0,0,0,1,4,1,2,0,4,4,2
107,4,1,4,4,4,4,4,2,4,2,0,4,0,4,4,0,4,4,2,0,4,4,0,4,4,4,0,4,4,4
108,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0,4,4,4,4,4,4,4,4,4
109,4,2,4,4,4,4,1,2,1,0,2,2,0,0,0,0,2,0,0,0,4,4,0,4,0,4,4,3,1,0
110,4,4,2,4,1,4,4,4,4,3,4,4,1,2,1,0,4,0,1,0,0,4,4,4,4,4,0,1,3,1
111,4,4,4,4,4,2,4,4,4,4,2,0,0,4,4,2,1,3,0,1,1,4,0,0,2,4,0,4,3,4
112,4,4,4,4,4,3,4,4,4,0,4,4,0,4,0,0,4,0,0,2,4,2,0,2,1,4,0,4,3,4
113,4,4,4,4,4,4,0,4,3,3,0,4,2,3,0,4,0,2,0,0,1,4,1,0,4,0,0,4,4,0
114,4,4,4,4,4,4,4,4,0,4,2,4,4,4,4,4,4,4,2,0,4,4,2,4,4,4,1,2,4,4
115,4,4,4,4,2,4,4,3,4,4,0,1,1,4,4,0,0,0,4,0,4,4,0,2,4,4,0,4,4,4
116,1,4,4,4,4,3,0,2,3,0,4,0,1,0,0,0,0,0,0,0,0,1,0,4,0,4,0,0,4,0
117,3,0,2,0,1,0,0,1,4,2,4,0,0,0,0,0,0,0,0,0,0,3,0,2,0,4,0,4,1,1
118,4,4,4,4,4,4,4,4,4,4,4,4,0,2,2,4,4,4,0,0,1,4,2,4,4,4,4,4,1,4
119,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,4,4
120,4,3,2,0,4,0,3,4,4,4,1,3,0,3,0,0,2,4,0,0,0,4,0,0,1,0,2,4,4,2
121,4,4,4,4,4,4,4,4,4,0,4,4,4,4,0,0,1,0,2,0,3,4,4,4,0,4,4,4,0,4
122,4,4,1,4,0,4,4,2,4,2,2,4,4,4,2,1,0,0,4,0,0,4,0,4,4,4,2,1,4,4
123,1,4,4,4,4,4,1,4,1,1,4,2,0,0,0,0,0,4,2,0,0,4,0,4,2,3,0,3,2,1
124,0,3,4,4,4,4,0,0,2,2,2,0,4,0,2,0,0,0,3,1,0,4,0,0,2,4,0,0,0,2
125,4,2,4,2,4,4,4,0,4,0,2,0,1,4,0,0,0,0,0,0,0,4,0,2,0,2,0,0,4,0
126,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,0,4,4,0,4,4,4,4,4,4,4
127,4,4,4,4,4,4,4,4,4,1,0,1,2,4,4,2,4,0,3,4,1,4,0,0,2,4,4,4,4,4
128,4,4,4,4,2,4,4,4,0,4,4,4,4,4,4,4,2,4,4,2,4,4,1,4,4,4,4,4,4,3
129,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,1,4,4,4,2,0,4,2,4,4,4,4,4,4,2
130,3,4,4,0,2,3,0,2,4,0,2,0,0,1,4,4,0,0,0,0,0,0,0,0,0,4,0,1,2,1
131,1,2,4,2,1,4,0,2,0,0,0,2,2,0,1,4,0,0,1,0,3,4,0,0,2,2,0,0,3,2
132,4,4,4,0,4,4,4,4,4,4,2,2,1,4,2,0,4,0,1,0,2,4,3,4,0,4,0,4,4,3
133,4,4,4,4,4,0,4,4,4,3,4,0,4,3,4,4,4,0,0,0,0,4,3,4,4,4,4,0,4,3
134,4,4,4,4,4,4,4,1,4,4,4,4,1,2,4,0,4,1,2,2,1,4,1,4,4,4,0,4,2,1
135,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,2,2,4,4,4,4
136,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,3,2,2,0,4,1,4,4,4,2,4,4,4
137,4,2,0,4,4,4,2,4,3,0,2,0,0,1,4,4,0,2,0,4,0,4,0,0,4,4,0,0,0,0
138,4,2,0,0,0,2,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,4,0,0,0,2,0,0,4,0
139,4,4,3,2,4,4,3,4,4,4,0,4,4,0,0,1,0,0,2,0,0,4,0,4,0,4,4,3,4,0
140,4,3,0,4,4,4,2,1,0,1,2,4,4,0,0,0,4,0,1,4,0,4,0,1,0,4,0,0,4,0
141,4,4,0,3,2,4,0,4,4,4,4,4,4,1,2,2,2,1,0,0,0,0,0,4,0,4,0,2,4,3
142,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,0,1,2,4,4,4,4,4,4,4,4,0
143,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,2,0,4,3,4,4,4,4,4,4,4
144,4,4,4,4,4,4,3,2,2,2,4,2,4,0,4,0,2,4,0,4,4,2,0,4,0,4,0,4,4,0
145,3,3,4,4,4,0,2,4,3,4,0,1,0,0,0,0,2,0,1,0,0,4,0,4,0,4,0,4,4,4
146,4,4,4,4,4,4,4,4,0,4,2,2,0,4,3,0,0,4,0,2,1,1,2,2,1,4,1,1,4,2
147,4,4,4,4,4,4,4,4,4,4,4,4,4,0,2,4,4,2,4,1,4,4,0,4,4,4,4,4,4,4
148,4,4,3,4,2,4,0,0,4,4,3,2,4,0,0,0,1,2,0,0,0,4,3,1,4,4,2,4,4,3
149,0,4,4,4,4,4,2,4,4,4,0,3,4,4,4,2,4,4,3,1,2,4,0,0,0,4,1,4,4,4
150,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,0,2,1,0,4,0,4,4,4,3,4,4,4
151,4,0,4,4,2,4,3,0,4,4,1,1,1,0,0,1,0,0,0,0,0,4,0,0,0,4,0,0,3,0
152,4,4,3,2,4,4,4,0,0,0,4,0,0,0,2,0,4,0,0,0,0,4,0,4,0,0,0,2,3,1
153,4,4,4,1,3,4,2,2,0,0,2,0,2,0,0,0,2,0,0,0,0,4,0,4,2,4,0,1,2,0
154,0,4,4,4,4,4,4,0,0,4,0,0,0,0,2,0,4,2,2,0,0,4,0,4,2,4,0,3,0,4
155,4,4,0,0,4,4,4,4,4,1,0,0,0,0,2,4,0,0,0,1,0,4,0,2,0,4,0,4,3,2
156,4,4,4,4,4,4,4,0,4,0,2,2,4,2,0,0,0,4,3,0,4,4,0,4,4,4,2,0,3,4
157,4,4,4,4,4,0,2,0,4,0,4,0,0,4,0,0,3,0,1,4,2,4,0,4,0,4,0,2,0,4
158,4,2,4,4,4,4,4,1,0,3,2,4,4,4,4,0,4,0,0,3,4,4,2,4,2,4,4,0,3,0
159,4,2,0,4,2,4,4,0,3,0,4,0,0,0,1,0,0,0,2,0,2,4,0,3,0,2,0,4,4,4
160,4,4,2,4,4,3,4,0,0,0,4,4,4,0,1,0,0,1,0,0,1,4,0,0,0,4,4,0,0,4
161,4,4,4,4,4,4,4,4,4,4,4,2,4,1,4,4,2,4,4,3,0,4,2,4,4,4,1,4,4,4
162,4,4,4,0,4,4,4,4,4,4,4,4,2,4,4,4,0,4,3,1,4,4,0,0,4,4,1,4,2,4
163,4,2,4,4,4,2,4,2,3,4,3,3,4,2,4,0,2,0,0,0,0,4,0,2,2,2,0,4,1,0
164,4,4,4,2,3,4,3,4,3,0,3,2,2,1,3,4,0,0,0,2,0,4,0,4,4,0,0,2,3,2
165,4,4,0,4,1,4,4,4,4,1,0,4,0,4,0,0,0,0,4,0,0,4,0,4,4,4,3,0,4,2
166,4,4,4,1,4,4,4,2,1,4,4,0,4,3,4,0,0,0,0,0,2,4,0,4,0,4,0,0,2,0
167,4,4,1,4,4,3,4,4,4,0,4,2,0,4,1,4,0,0,0,1,0,4,0,4,4,4,0,4,3,4
168,4,3,4,2,4,2,4,4,0,4,4,2,4,4,1,1,0,2,4,1,4,4,0,4,0,4,0,4,4,0
169,4,0,0,0,4,2,4,0,0,0,0,0,2,2,0,0,4,0,2,0,0,0,3,4,2,4,4,0,2,1
170,4,4,4,0,1,4,4,2,4,0,4,4,4,4,4,4,3,0,1,2,0,4,3,4,0,4,4,4,4,4
171,4,1,1,4,4,3,4,4,4,0,4,4,4,3,2,0,0,0,4,0,4,4,4,2,4,4,0,4,4,4
172,4,4,4,0,4,0,4,4,4,4,4,4,2,0,0,4,0,2,0,0,0,4,0,2,0,4,0,4,4,1
173,4,3,4,3,4,4,0,4,4,4,3,4,4,4,3,0,0,0,2,0,2,4,0,4,2,4,4,4,4,3
174,1,0,4,1,2,3,1,1,0,2,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,1,2,1
175,4,2,4,4,4,4,0,4,4,4,4,4,0,4,4,4,1,0,0,0,1,4,2,4,4,4,4,4,4,4
176,4,4,2,0,2,1,0,4,4,1,0,4,0,0,4,0,0,1,0,0,0,4,0,4,0,4,0,0,4,0
177,4,4,4,4,4,4,4,2,0,4,4,4,2,0,0,4,2,0,4,0,0,4,0,4,3,4,0,4,2,4
178,4,4,4,4,4,4,3,4,0,0,4,0,0,4,4,2,1,4,4,4,4,4,3,0,4,4,0,4,4,3
179,4,4,4,4,4,4,4,4,4,4,4,2,1,4,4,3,1,4,4,2,0,4,4,4,4,4,0,4,3,1
180,4,4,4,4,4,4,4,3,4,2,4,4,4,4,4,1,3,0,4,4,1,4,1,4,2,4,4,2,4,4
181,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,3,1,3,4,4,4,2,4,4,4,2,4,4,4
182,4,2,4,4,4,0,4,3,4,1,1,0,0,0,3,1,0,4,1,0,0,4,2,4,4,4,0,1,1,0
183,4,4,4,4,4,4,4,4,4,0,4,2,2,4,2,4,4,0,0,1,0,4,0,4,0,4,0,4,0,0
184,1,0,0,4,4,0,4,2,4,4,1,0,4,0,0,3,1,0,2,0,0,4,0,0,2,4,0,2,0,1
185,4,4,4,4,4,2,4,4,4,4,0,0,4,4,3,4,4,0,2,1,4,4,4,4,4,0,2,4,4,4
186,4,4,4,4,4,4,4,4,4,4,4,0,4,4,3,0,4,0,4,0,0,4,2,4,0,4,0,4,3,4
187,4,4,4,4,2,4,4,4,4,3,3,2,2,2,4,1,2,0,2,0,0,4,0,4,0,4,0,0,4,1
188,3,4,0,4,2,4,0,4,4,4,4,4,4,4,0,4,0,4,0,4,4,4,0,4,4,4,4,4,4,2
189,4,4,4,1,4,4,4,0,3,4,4,4,0,0,0,0,2,0,1,0,0,1,3,4,2,4,0,4,3,0
190,4,4,4,4,4,4,4,4,4,1,4,1,4,4,0,4,4,0,1,0,0,4,1,3,0,4,0,0,4,3
191,4,4,2,2,1,4,1,4,0,4,4,4,0,2,2,0,4,2,4,0,0,4,3,4,4,4,0,0,4,2
192,1,4,2,0,0,2,4,0,4,2,2,0,0,0,0,4,0,2,2,3,0,4,0,4,0,4,2,4,1,4
193,3,4,4,3,4,4,3,2,4,4,4,0,1,2,4,4,0,4,0,2,3,4,0,2,2,4,0,4,4,4
194,0,4,4,4,4,4,4,0,4,4,3,4,4,2,4,4,2,0,4,4,0,4,0,4,4,0,2,1,4,4
195,4,4,4,2,4,4,4,4,0,4,0,4,4,2,0,0,1,0,0,0,0,4,4,4,0,2,4,0,2,0
196,4,3,2,2,4,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0
197,1,4,4,4,2,4,0,4,4,2,0,0,0,4,0,0,1,0,2,0,0,4,2,0,0,4,0,4,3,2
198,4,3,4,4,4,4,4,4,0,4,4,4,2,0,4,2,0,2,1,0,1,4,1,4,4,4,2,4,4,4
199,3,4,4,2,1,2,4,1,1,2,0,2,4,0,0,4,2,0,0,0,2,4,0,4,1,4,4,4,4,4
200,4,2,2,4,4,4,1,0,0,4,4,0,0,2,0,0,0,0,3,0,0,3,0,1,0,4,4,4,3,2
201,4,4,4,4,4,3,4,3,2,0,2,0,2,0,0,0,2,0,2,0,0,4,0,4,2,4,4,0,4,0
202,4,4,4,4,4,4,4,4,4,4,4,2,4,4,0,0,4,4,2,4,0,4,1,4,4,4,0,4,3,4
203,4,4,4,0,4,2,2,4,0,4,3,2,2,2,4,0,0,0,0,0,0,4,0,0,4,2,0,2,2,2
204,4,4,4,4,4,4,2,0,3,0,0,0,4,2,0,0,0,0,0,0,0,4,0,4,0,4,0,0,2,4
205,1,3,4,4,2,4,0,4,4,0,4,1,2,2,0,0,0,0,0,0,4,4,0,4,2,0,4,3,0,4
206,4,0,4,0,0,4,0,2,3,0,3,3,0,2,1,1,0,0,0,0,0,4,1,0,0,2,0,4,2,0
207,4,4,4,4,4,4,4,0,4,4,4,4,4,0,0,0,2,4,0,4,4,4,0,4,1,4,0,0,4,4
208,4,0,4,4,3,4,4,0,1,4,4,0,0,2,2,2,0,1,0,2,0,4,0,4,4,2,0,3,4,4
209,3,4,4,4,4,4,3,0,1,4,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2
210,4,4,4,4,4,4,4,4,4,4,2,4,4,4,0,4,0,0,0,0,0,4,1,4,0,4,2,3,4,4
211,4,4,4,4,4,4,4,4,3,4,2,4,4,4,4,4,4,0,1,1,3,4,0,4,4,4,0,4,4,4
212,4,4,4,4,4,4,4,4,4,0,4,4,4,0,2,4,0,0,0,1,4,4,2,4,0,4,2,4,0,4
213,0,4,4,4,4,4,0,4,4,0,2,3,4,4,4,4,0,0,0,0,0,4,0,4,0,4,0,1,4,1
214,0,3,4,4,4,4,2,0,0,0,1,2,1,0,0,0,0,0,3,0,0,4,0,1,0,4,0,2,0,1
215,4,4,4,4,4,3,0,4,0,4,2,1,1,1,4,4,4,0,1,0,0,4,2,4,0,4,4,4,4,0
216,4,3,4,2,4,0,4,4,2,2,4,0,0,4,4,0,0,0,1,2,0,4,0,4,4,4,0,4,0,4
217,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,0,1,0,0,0,0,4,3,4,4,4,4,4,4,4
218,4,4,4,0,0,3,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,4,0,0,4,0
219,4,4,4,3,4,4,4,0,4,0,4,2,0,4,0,0,0,0,0,4,0,1,0,4,4,4,0,4,4,4
220,4,4,4,4,2,2,4,0,0,2,1,4,1,0,0,4,0,0,4,0,0,4,0,0,4,4,0,0,4,1
